Date,1y-3y Avg,3y-5y Avg,5y-10y Avg,Over 10y Avg,Price,3y-5y Avg_A,5y-10y Avg_A,Over 10y Avg_A,Price_A,WTI_oil_b
02/10/2020,1.48,1.36,1.32,1.39,49.57,0.2822445820433437,0.013947368421052708,-0.3149380804953559,-15.189649635036496,-15.189649635036496
02/10/2021,0.17,0.39,0.79,1.46,58.68,-0.6877554179566564,-0.5160526315789473,-0.24493808049535581,-6.079649635036496,-6.079649635036496
02/10/2022,1.42,1.74,1.9,2.2,89.88,0.6622445820433436,0.5939473684210526,0.4950619195046444,25.1203503649635,25.1203503649635
02/11/2020,1.51,1.4,1.36,1.44,49.94,0.3222445820433435,0.053947368421052744,-0.26493808049535583,-14.819649635036498,-14.819649635036498
02/11/2021,0.17,0.38,0.79,1.47,58.24,-0.6977554179566564,-0.5160526315789473,-0.2349380804953558,-6.519649635036494,-6.519649635036494
02/11/2022,1.38,1.65,1.8,2.13,93.1,0.5722445820433435,0.4939473684210527,0.4250619195046441,28.3403503649635,28.3403503649635
02/12/2020,1.54,1.44,1.4,1.48,51.17,0.36224458204334353,0.09394736842105256,-0.2249380804953558,-13.589649635036494,-13.589649635036494
02/12/2021,0.17,0.39,0.82,1.51,59.47,-0.6877554179566564,-0.4860526315789474,-0.19493808049535577,-5.289649635036497,-5.289649635036497
02/13/2020,1.55,1.44,1.4,1.48,51.42,0.36224458204334353,0.09394736842105256,-0.2249380804953558,-13.339649635036494,-13.339649635036494
02/14/2020,1.52,1.42,1.38,1.46,52.05,0.3422445820433435,0.07394736842105254,-0.24493808049535581,-12.709649635036499,-12.709649635036499
02/14/2021,,,,,60.37,,,,-4.389649635036498,-4.389649635036498
02/14/2022,1.43,1.71,1.87,2.19,95.46,0.6322445820433436,0.5639473684210528,0.48506191950464417,30.700350364963498,30.700350364963498
02/15/2021,,,,,60.09,,,,-4.669649635036492,-4.669649635036492
02/15/2022,1.47,1.75,1.92,2.22,92.07,0.6722445820433436,0.6139473684210526,0.5150619195046444,27.310350364963497,27.310350364963497
02/16/2020,,,,,52.36,,,,-12.399649635036496,-12.399649635036496
02/16/2021,0.2,0.45,0.9,1.6,60.05,-0.6277554179566565,-0.40605263157894733,-0.10493808049535569,-4.709649635036499,-4.709649635036499
02/16/2022,1.45,1.73,1.9,2.21,93.66,0.6522445820433436,0.5939473684210526,0.5050619195046442,28.9003503649635,28.9003503649635
02/17/2020,,,,,52.2,,,,-12.559649635036493,-12.559649635036493
02/17/2021,0.2,0.45,0.89,1.58,61.14,-0.6277554179566565,-0.41605263157894734,-0.12493808049535571,-3.6196496350364953,-3.6196496350364953
02/17/2022,1.43,1.69,1.86,2.17,91.76,0.6122445820433435,0.5539473684210527,0.46506191950464415,27.00035036496351,27.00035036496351
02/18/2020,1.5,1.39,1.34,1.42,52.05,0.3122445820433435,0.033947368421052726,-0.28493808049535585,-12.709649635036499,-12.709649635036499
02/18/2021,0.21,0.47,0.92,1.61,60.52,-0.6077554179566564,-0.3860526315789473,-0.09493808049535568,-4.239649635036493,-4.239649635036493
02/18/2022,1.41,1.66,1.82,2.15,91.07,0.5822445820433435,0.5139473684210527,0.44506191950464413,26.310350364963497,26.310350364963497
02/19/2020,1.52,1.41,1.37,1.44,53.29,0.3322445820433435,0.06394736842105275,-0.26493808049535583,-11.469649635036497,-11.469649635036497
02/19/2021,0.22,0.51,0.99,1.68,59.24,-0.5677554179566564,-0.31605263157894736,-0.02493808049535584,-5.519649635036494,-5.519649635036494
